119,1,16.57,16.89,16.39,12
119,2,16.23,16.14,16.35,14.203
119,3,15.86,15.51,16.36,13.626
119,4,15.82,16.29,15.47,11.543
120,0,15,15,23.57,8.4439
120,1,15.04,15.42,15,7.1633
120,2,20.81,25.69,18.34,7.9498
120,3,20.8,24.59,20.8,8.0211
120,4,18.28,15,20.55,7.0517
121,0,18.44,17.93,37.87,3.4007
121,1,20.61,20.84,20.36,2.1447
121,2,20.03,20.22,19.85,3.8827
121,3,19.8,19.8,19.8,5.2135
121,4,20.45,20.45,20.47,5.7567
122,0,23.77,25.24,22.65,7.8885
122,1,24.03,23.72,24.27,4.2207
122,2,23.92,23.72,24.12,6.1729
122,3,24.05,23.85,24.26,4.5886
122,4,24.26,24.19,24.34,5.1713
123,0,16.99,16.94,16.69,7.5042
123,1,18.1,17.9,18.29,7.185
123,2,19.02,15,19.01,8.0633
123,3,15,15,15.16,6.5733
123,4,15,15,15,6.4462
124,0,20.42,20.49,20.38,2.5517
124,1,21.58,21.76,21.42,1.7654
124,2,21.33,21.58,21.1,1.3651
124,3,21,21.45,20.59,1.589
124,4,20.94,21.21,20.66,1.7983
125,0,15.41,15.93,15.22,12.999
125,1,26.49,27.37,25.87,6.7553
125,2,24.27,24.99,23.6,3.874
125,3,23.56,24.83,22.47,3.6456
125,4,23.62,23,24.28,4.0457
126,0,15,15.55,15,9.3675
126,1,15,15,15,9.0061
126,2,25.88,26.34,25.49,7.6802
126,3,25,25.61,24.85,8.6391
126,4,25.82,25.82,25.83,8.4872
127,0,26.28,26.42,26.26,10.057
127,1,26.76,26.94,26.59,8.7448
127,2,26.48,26.55,26.43,8.7338
127,3,27.11,26,27.06,9.406
127,4,26.5,26.32,26.68,9.2171
128,0,17.56,16.89,19.62,7.1064
128,1,23.5,24.33,23.14,5.5595
128,2,23.91,24.07,23.86,2.8754
128,3,23.24,23.06,23.46,2.551
128,4,23.76,23.24,24.34,3.5035
129,0,20.63,20.38,20.92,3.7387
129,1,20.46,20.42,20.49,1.6639
129,2,20.26,20.06,20.46,2.3676
129,3,20.33,20.55,20.13,1.1646
129,4,19.24,20.06,18.71,2.1794
130,0,20.54,20.43,20.54,0.63726
130,1,20.71,20.94,20.48,3.9657
130,2,20.43,20.46,20.4,1.1835
130,3,21.05,21.09,21.01,3.8675
130,4,20.47,20.8,20.35,2.2969
131,0,25.77,25.9,25.73,1.824
131,1,25.62,25.88,24.84,6.7397
131,2,23.71,24.12,23.51,5.9568
131,3,23.64,24.42,23.53,6.9959
131,4,24.55,24.24,24.91,6.3276
132,0,23.77,23.64,24.1,5.9872
132,1,25.41,25.64,25.18,5.7364
132,2,24.58,24.89,24.27,3.9492
132,3,25.21,25.63,24.81,3.6641
132,4,24.16,24.48,23.85,3.2818
133,0,19.38,38.57,19.39,3.7277
133,1,21.3,20.98,21.65,2.75
133,2,20.89,21.14,20.39,3.6235
133,3,20.37,20.02,20.74,2.7219
133,4,20.18,20.49,19.88,1.9087
134,0,18.55,18.4,37.47,0.96051
134,2,19.96,20.2,19.8,3.8604
134,3,18.74,18.51,18.98,1.8909
134,4,18.9,19.82,18.03,3.8526
135,0,18.3,18.95,15,7.6959
135,1,15.07,16.6,19.08,5.7295
135,2,15.56,15.57,15.54,6.2398
135,3,18.01,15,18.14,6.9054
135,4,15,16.99,15,6.0924
136,0,23.49,16.02,25.53,11.217
136,1,24.58,22.05,25.66,10.193
136,2,23.24,24.46,20.33,9.0817
136,3,23.64,26.02,22.2,9.2153
136,4,16.39,18.44,15.48,8.1602
